timestamp,latency_ms,jitter_ms,loss_pct,bandwidth_mbps,queue_drops,delta_tx_bytes,delta_rx_bytes,rssi_dbm,server_cpu_pct,server_ram_pct,congestion_state
760,4.774,0.446,0.0,-1.0,0,0,0,-46,5.299999999999997,82.07,MEDIUM
765,5.483,0.995,0.0,-1.0,0,0,0,-46,13.599999999999994,82.07,MEDIUM
770,5.03,0.378,0.0,0.0,0,0,0,-46,13.0,82.07,MEDIUM
775,4.544,0.195,0.0,-1.0,0,0,0,-46,10.0,82.07,MEDIUM
780,5.182,0.695,0.0,-1.0,0,0,0,-46,9.5,81.71,MEDIUM
785,4.983,0.852,0.0,-1.0,0,0,0,-46,13.599999999999994,81.87,MEDIUM
790,4.879,0.599,0.0,-1.0,0,0,0,-46,20.799999999999997,81.87,MEDIUM
795,4.847,0.479,0.0,0.0,0,0,0,-46,9.5,81.87,MEDIUM
800,4.28,0.659,0.0,-1.0,0,0,0,-46,13.599999999999994,82.02,MEDIUM
805,4.273,0.811,0.0,-1.0,0,0,0,-46,9.5,82.07,MEDIUM
810,3.676,0.054,0.0,-1.0,0,0,0,-46,13.599999999999994,82.23,MEDIUM
815,4.054,0.452,0.0,-1.0,0,0,0,-46,5.299999999999997,82.33,MEDIUM
820,4.345,0.832,0.0,0.0,0,0,0,-46,13.599999999999994,82.44,MEDIUM
825,4.862,0.346,0.0,-1.0,0,0,0,-46,9.5,82.75,MEDIUM
830,5.483,1.261,0.0,-1.0,0,0,0,-46,15.0,82.86,MEDIUM
835,4.503,0.068,0.0,-1.0,0,0,0,-46,10.0,82.96,MEDIUM
840,4.372,0.673,0.0,-1.0,0,0,0,-46,13.599999999999994,83.01,MEDIUM
845,4.52,0.485,0.0,0.0,0,0,0,-46,18.200000000000003,83.01,MEDIUM
850,6.617,2.908,0.0,-1.0,0,0,0,-46,10.0,83.12,MEDIUM
855,4.809,0.715,0.0,-1.0,0,0,0,-46,93.5,83.27,HIGH
860,4.043,0.797,0.0,-1.0,0,0,0,-46,10.0,81.66,MEDIUM
865,5.063,0.648,0.0,-1.0,0,0,0,-46,10.0,81.66,MEDIUM
870,4.654,0.242,0.0,0.0,0,0,0,-46,9.5,81.76,MEDIUM
